raw_character_text,normalized_text
Bart Simpson,i wanna see some birds get sucked into the engines rare ones
Bart Simpson,so how do you know so much about american history
Homer Simpson,they didnt have any aspirin so i got you some cigarettes
Marge Simpson,well maybe my headache will go away once the show starts
Marge Simpson,do they have to play that rock music every note is pounding into my skull
Homer Simpson,heh heh why jerk my neck around like a goon when tyranno-vision decides what i should look at
Marge Simpson,kids everythings going to be okay dont panic just dont panic
Bart Simpson,cool i want to be around when those guns start going off
Marge Simpson,i feel so helpless what if something happens to them
Bart Simpson,free n easy lis ahh theres nothing like an unfurnished basement for pure comfort
Bart Simpson,so krusty double-crossed you but your basic plan was pure genius where do you get your ideas
Bart Simpson,i shouldve known you were too smart to fall for that
Homer Simpson,well i wrecked the gate but you dont hear me bragging now lets roll
Bart Simpson,are you getting a lot of bugs in your mouth too
Bart Simpson,you cant escape bob if the tennis rackets dont get you the pool skimmers will
Bart Simpson,but you cant kill krusty he made you what you are without him you wouldnt even be called sideshow
Bart Simpson,mo-om youre embarrassing me in front of the army guys
Bart Simpson,what is the mind is it just a system of impulses or is it something tangible
Homer Simpson,relax what is mind no matter what is matter never mind
Marge Simpson,rockabye baby in the tree top when the wind blows the cradle will rock when the bough breaks the cradle will fall and down will come baby cradle and all
Homer Simpson,theres nothing to worry about now everyone go to sleep good night
Homer Simpson,quick down to the fallout shelter the bombs are dropping
Homer Simpson,eighteen seconds hmph if this were really a nuclear war wed all be dead meat by now say youre all shivering are you cold or what
Homer Simpson,there you go now thats not so bad is it
Bart Simpson,ahhhh welcome to ze exotic world of undersea explorer bart simpson
Bart Simpson,come with bart as he dive into the briny deep searching for the wily and elusive wash cloth suddenly without warning the great bart get more than he bargain for
Homer Simpson,hello my name is mr burns i believe you have a letter for me
Marge Simpson,well homer maybe you can take some consolation in the fact that something you created is making so many people happy
Homer Simpson,oooh look at me im making people happy im the magical man from happyland in a gum drop house on lollipop lane
Homer Simpson,simpson homer simpson hes the greatest guy in history from the town of springfield hes about to hit a chestnut tree
Homer Simpson,but it wont make you unhappy right hey space food sticks oh i wish i had these on my space adventure did you know i was blasted into space two years ago mom
Homer Simpson,well youll be happy to know i dont work very hard actually im bringing the plant down from the inside
Marge Simpson,lawyers lawyers ooh lionel hutz cases won in 30 minutes or your pizzas free
Bart Simpson,id sell my soul for a formula one racing car
Homer Simpson,no it doesnt its funny their clothes are different from my clothes look at what theyre wearin
Homer Simpson,or what youll release the dogs or the bees or the dogs with bees in their mouths and when they bark they shoot bees at you well go ahead do your worst
Marge Simpson,well im just relieved that homers safe and youre recovered and we can all get back to normal
Homer Simpson,young man in this house we use a little word called please
Marge Simpson,im sorry honey but those games cost up to and including seventy dollars and theyre violent and they distract you from your schoolwork
Bart Simpson,those are all good points but the problem is they dont result in me getting the game
Homer Simpson,i know how you feel bart when i was your age i wanted an electric football game more than anything in the world and my parents bought it for me and it was the happiest day of my life well goodnight
Marge Simpson,all aboard the sleepy train to visit mother goose bartys stop is snoozy lane to rest his sweet caboose
Bart Simpson,mo-om im not a little kid anymore tuck-in time is lame
Marge Simpson,well if loving my kids is lame then i guess im just a big lame
Bart Simpson,i want to buy a copy of bonestorm heres ninety-nine cents
Bart Simpson,hmmm maybe if i stand next to the games looking sad someone will feel sorry for me and buy me one
Bart Simpson,uh i dont think this is the kind of coat that opens
Bart Simpson,i-i-i could pay for the game ill pay for it
Bart Simpson,um okay ive really really really learned my lesson can i please go now
Bart Simpson,gotta change that answering machine tape oh god i gotta change that tape
Homer Simpson,hmmm we didnt have a message when we left how very odd
Bart Simpson,now to put this tape where no one will ever listen to it
Marge Simpson,homer didnt you get any milk all i see is egg nog
Homer Simpson,tis the season marge we only get thirty sweet noggy days then the government takes it away again
Bart Simpson,well you lucked out marge my man cause im in a smiling mood today
Marge Simpson,oh good so get ready and before you know it well be at the try-n-save
Marge Simpson,bart whats taking so long if youre having that problem with your zipper i can send your father up
Marge Simpson,whats the matter with your face is that a fake nose are you wearing chin putty
Marge Simpson,please bart no more pranks it would mean so much to me if we could have just one nice family photo
Bart Simpson,so were just going to do this photo and get out right ba-da-bing ba-da-boom
Homer Simpson,i wanna price some flip-flops and smell the new tires and consult the pharmacist for some free medical advice
Marge Simpson,sure were gonna have a great day ba-da-bing ba-da-boom right bart bart
Homer Simpson,maybe its sporting goods wait no sleepwear oh probably better living
Marge Simpson,oh homie look at that watch ive always wanted a watch like that
Marge Simpson,wait wait i dont want maggies face hidden behind that pacifier
Marge Simpson,thats crazy barts not a shoplifter hes just a little boy
Marge Simpson,my son may not be perfect but i know in my heart hes not a shoplifter
Marge Simpson,fine play the tape then everyone can see youve got the wrong boy
Homer Simpson,stealing how could you havent you learned anything from that guy who gives those sermons at church captain whats-his-name we live in a society of laws why do you think i took you to all those police academy movies for fun well i didnt hear anybody laughing did you except at that guy who made sound effects where was i oh yeah stay out of my booze
Bart Simpson,man i thought mom was gonna scream me stupid she didnt even raise her voice
Bart Simpson,really you think this might be one of those forever-type things
Marge Simpson,lisas on the sleepy train to rest her weary head her ticket is a candy cane made out of gingerbread
Homer Simpson,ive figured out the boys punishment first hes grounded no leaving the house not even for school second no eggnog in fact no nog period and third absolutely no stealing for three months
Marge Simpson,i always thought i understood my special little guy but somewhere along the road his hand slipped away from mine
Marge Simpson,hes not my little baby anymore maybe i mother him too much
Marge Simpson,i think youre old enough to do it yourself now
Bart Simpson,milhouse do you ever worry that your mom might stop loving you
Bart Simpson,yeah right youre just trying to trick me because you dont want me playing with your videogame
Bart Simpson,okay okay i wont bug milhouse but well mrs van houten this is gonna sound kinda dumb but can i hang out with you while you do mom stuff
Homer Simpson,check it out boy its like looking into a living snow mirror
Marge Simpson,i didnt think youd mind i figured you were getting a little too old for this but you can still make one theres some snow left under the car
Bart Simpson,everybody thinks im the black sheep well ill show them what a black sheep can do
Marge Simpson,were almost finished theres just a little bit of green left
Marge Simpson,there you are you can help me spray the cookies
Marge Simpson,are you hiding something what do you have under your jacket
Marge Simpson,you cant hide from me in this house bart i spend 23 hours a day here
Marge Simpson,theres no place left to run bart hand it over
Marge Simpson,oh sweetie this is the best present a mother could get
Marge Simpson,since i got my present early i think you should get yours early too
Marge Simpson,now i know you love video games and i asked the clerk which is the one every boy wants
Bart Simpson,omigod the mad magazine special edition they only put out seventeen of these a year
Homer Simpson,ooo snappy answers to stupid questions im great at these ask me if something smells funny in here boy
Bart Simpson,look at this special insert -- iron-on mad-ness ban the bath dont trust anyone over ten sock it to me
Homer Simpson,ahhh they never come around anymore now that theyve got their mistresses
Homer Simpson,well youre closing its getting late my kids are probably wondering where their daddy is theres gotta be some other place we can go think moe think
Homer Simpson,im tired of being a wannabe league bowler i wannabe a league bowler
Homer Simpson,five hundred dollars no problem would you take an out-of-state two-party bad check
Marge Simpson,no i will not pay you five hundred dollars for sex
Homer Simpson,aw come on marge youre getting something in return and im getting a bowling team its winwin
Marge Simpson,its sick and i dont have that kind of money to spend on sex maybe you could get someone with money to sponsor your team like mr burns
Homer Simpson,burns never gives money to anybody just last week i asked him for fifteen hundred dollars
Homer Simpson,ooh ive got to get the third degree from you too
Bart Simpson,oh man is it hot in here i better take off my sweater
Homer Simpson,mr burns i uh was wondering if youd like to sponsor my bowling team for five hundred dollars
Homer Simpson,hey everybody if you want to ask burns for a favor nows the time hes doped up or dyin or something
Homer Simpson,oh cmon if we quit now well never know how badly theyre gonna beat us
Homer Simpson,cmon guys lets be the team that supports each other you can do it otto you can do it otto help each other out thatll be our motto
Homer Simpson,the hardest shot in bowling it was all up to me
Homer Simpson,so i got up all my courage right away my lips started to move and i came up with a chant that won the match
Homer Simpson,i dont know you know some guy otto i guess
Homer Simpson,marge youre missing the point the individual doesnt matter it was a team effort and i was the one who came up with the whole team idea me
Marge Simpson,i cant believe otto picked up a 7-10 split hes phenomenal
Bart Simpson,mom my sling shot doesnt fit in these pockets and these shorts leave nothing to the imagination these uniforms suck
Homer Simpson,yeah moe that team sure did suck last night they just plain sucked ive seen teams suck before but they were the suckiest bunch of sucks that ever sucked
Homer Simpson,they made us thats loser talk you gotta start acting more like me and my team the future league champions of the world nothings gonna stop us now
Homer Simpson,look guys its not that simple hes my boss ill tell you what ill give him a shot and if he stinks itll be easier to tell him no
Bart Simpson,oh theres something i used to do in this situation but cant remember
Homer Simpson,uh mr burns next week is the big championship game
Homer Simpson,aw marge we were so close to winning the championship now thanks to burns its never gonna happen and i spent so much time building that trophy case
Marge Simpson,homer maybe mr burns will bowl a great game and you will win your championship
Homer Simpson,so youre saying were definitely gonna win -- woo hoo i wont need this any more
Homer Simpson,mr burns as team captain its my duty to inform you that
Homer Simpson,i guess some people never change or they quickly change and then quickly change back
Marge Simpson,well you could hand out these flyers for the neighborhood rummage sale
Homer Simpson,good ol evergreen terrace the swankiest street in the classiest part of pressboard estates
Bart Simpson,well if you love it so much why are you always littering
Bart Simpson,that fancy housell never sell nobody who could afford it would want to live in this neighborhood
Homer Simpson,hey whats wrong with this neighborhood big shot too good to buy a house here snobby
Marge Simpson,can we get rid of this ayatollah t-shirt khomeini died years ago
Homer Simpson,but marge it works on any ayatollah ayatollah nakhbadeh ayatollah zahedi even as we speak ayatollah razmara and his cadre of fanatics are consolidating their power
Marge Simpson,i dont care whos consolidating their power well we dont need this
Homer Simpson,marge thats the rhinestone nights fashion gun i need it to rhinestone-up my old clothing
Homer Simpson,oh i wanted to write disco stud but i ran out of space not that disco stu didnt get his share of the action
Marge Simpson,are you interested in that motorized tie rack principal skinner
Marge Simpson,well you can always take the motor out and use it as an ordinary tie rack
Homer Simpson,i think this is the best neighborhood in town anybody agree with me
Homer Simpson,say that ayatollah thinks hes better than america is he right
Homer Simpson,well for only five dollars you can sock it to him in style
Homer Simpson,and for the man who has everything a tie rack motor
Homer Simpson,thank you neighbors thank you now lets give it up for table five ah-ah-ah-ah table five table five ah-ah-ah-ah table fi-i-i-i-i-i-ve
Homer Simpson,hey whats the big deal its just some new guy moving in
Homer Simpson,okay lets give it up for the new guy now lets all turn around and pay attention to me again hello hello
Homer Simpson,why did he have to move in on my territory look at him thinks just because he led the free world he can act like a big shot
Homer Simpson,stupid president why couldnt he just stay in his own state
Homer Simpson,wait a minute if lisa didnt vote for him and i didnt vote for him--
Homer Simpson,i voted for prell to go back to the old glass bottle after that i became deeply cynical
Homer Simpson,i guess you might say hes barking up the wrong bush heh heh heh
Homer Simpson,oh man ive only got one minute til they stop serving those breakfast balls
Homer Simpson,all right his story checks out marge would you love me more if i were president cause ill do it if it will make you happy
Marge Simpson,homie as long as you keep the car full of gas im happy
Bart Simpson,i begged him to stop but he said it was for the good of the nation
Marge Simpson,grampa i know in your day spanking was common but homer and i just dont believe in that kind of punishment
Homer Simpson,first bush invades my home turf then he takes my pals then he makes fun of the way i talk probably now he steals my right to raise a disobedient smart-alecky son well thats it
Homer Simpson,oooh hiding behind your goons eh bush oooh well you are a wimp
Homer Simpson,this is gonna be sweet two hundred bottle rockets and george bush doing toe touches by an open window
Bart Simpson,if you get one up his butt its a million points
Homer Simpson,its your sons george bush jr and jeb bush come outside dad
Marge Simpson,president bush is driving on our lawn he must be lost
Bart Simpson,looks like were experiencing some blow-back from the wig offensive
Homer Simpson,so i thought to myself what would god do in this situation
Homer Simpson,its all in the bible son its the pranksters bible
Homer Simpson,for the last time bush apologize for spanking my boy
Homer Simpson,oh brought some of your commie friends to help you fight dirty eh
Homer Simpson,woo hoo in your face bush now apologize for the tax hike
Homer Simpson,former president gerald ford put er there im homer simpson
Homer Simpson,jerry i think you and i are gonna get along just fi--
Bart Simpson,lets go to the sharper image theyve got a tv shaped like a fifties diner
Marge Simpson,we cant afford to shop at any store that has a philosophy we just need a tv were going to go to the outlet mall in ogdenville
Homer Simpson,look at these low low prices on famous brand name electronics
Bart Simpson,dont be a sap dad these are just crappy knock-offs
Homer Simpson,i know a genuine panaphonics when i see it and look theres magnetbox and sorny
Homer Simpson,sold you wrap it up ill start bringin in the pennies
Marge Simpson,it fits like a dream too but we cant afford 90 even if it is a bargain it wouldnt be right to buy something just for me if it were a suit we could all wear maybe then
Marge Simpson,oh sure i do i treated myself to a sanka not three days ago but this is a real find
Marge Simpson,alright i will buy it itll be good for the economy
Marge Simpson,really you like it oh id love to wear this someplace special
Homer Simpson,whats the point of going out were just gonna wind up back here anyway
Marge Simpson,i used to be a little overwhelmed too but its not that hard i can show you
Marge Simpson,ninety percent of the time if the gas isnt pumping this is your problem
Marge Simpson,we ran with different crowds you had your debutante balls and skinny-dipping and i had my home shoe repair course
Marge Simpson,bart comb your hair homer i dont think you should wear a short-sleeved shirt with a tie
Marge Simpson,if detective sipowicz jumped off a cliff would you do that too
Marge Simpson,ive told you i dont like you using the word hotbed please lisa we so rarely get to do things like this and everybody -- everybody please -- be on your best behavior bart no grifting
Marge Simpson,ohhh ive always dreamed of coming here everybody keep smiling and i know were going fit right in
Marge Simpson,pleased to meet you you look like such a happy bunch of people
Marge Simpson,oh that reminds me of a funny apron i saw
Homer Simpson,uh cmon kids lets go sit in the car til your moms done fitting in
Marge Simpson,i get food through the mail but in a different way every month good housekeeping arrives in my mailbox bursting with recipes sometimes the most satisfying meal is the one you cook yourself
Marge Simpson,didnt everybody have a wonderful time i thought it was so opulent -- like the playboy mansion but non-sexual
Bart Simpson,that place is weird a man in the bathroom kept handing me towels til i paid him to stop
Marge Simpson,yes theyre better socially better and if we fit in we can be better too so today while the rest of you were out being different i did a very good job of fitting in so good that evelyn gave us a guest pass they might even ask us to join
Homer Simpson,boy marge you mustve really done a number on those rich suckers
Marge Simpson,queen of hearts i believe all the rest are ours
Homer Simpson,marge did you know that kennedy and lincoln had the same handicap
Marge Simpson,homer please i have to alter this suit so it looks different for tomorrow
Homer Simpson,just slap some bumper stickers on it and come to bed willya marge
Marge Simpson,oh that would be a dream come true ill be there with bells on
Homer Simpson,oh this game could mean big things for me marge if i beat mr burns i mean really wallop him bad im sure to get that big raise ive been gunning for
Marge Simpson,all right all right but if you win dont make a scene and dance around with your woo-hoos please we cant afford a single slip-up theyre judging us
Marge Simpson,i dont know lisa tonight is very important mommy has to alter her suit so it looks like a totally new one
Marge Simpson,i really need to concentrate on this lisa would you mind--
Marge Simpson,ive already altered this so many times its nearly impossible to
Marge Simpson,at times like this i guess all you can do is laugh
Marge Simpson,mmm its a bit peppery for me why dont we put this in the maybe pile
Homer Simpson,good morning mr burns beautiful day to be outside isnt it
Homer Simpson,how - can - that - old - man - hit - so - far
Marge Simpson,miss miss do you have a chanel suit or any other high-quality clothes
Homer Simpson,these arent reptile eggs youve been cheating no matter where mr burns hits the ball you put a fresh one on the green
Homer Simpson,so youre not the best golfer here waitll i tell everyone about this you stink
Homer Simpson,im driving up to the main building theyve got valet parking tonight
Marge Simpson,we cant drive this up there theyll see the dent theyll see the coat hanger antenna stop the car were walking
Homer Simpson,but marge valets for once maybe someone will call me sir without adding youre making a scene
Homer Simpson,im gonna regale everyone with my anecdote you know the one i tried to say on the radio heh heh whos gonna bleep me this time
Bart Simpson,im gonna pose as an italian count and get some old lady to leave me all her money
Marge Simpson,no no no not tonight no vulgarity no mischief no politics just be good
Homer Simpson,you kids should thank your mother now that shes a better person we can see how awful we really are
Marge Simpson,oh homie i like your in-your-face humanity i like the way lisa speaks her mind i like barts i like bart and i like my old green dress i didnt have to spend our savings on this stupid gown
Marge Simpson,dont worry i saved the receipt well have a 3300 credit at chanel
Marge Simpson,cmon lets go i wouldnt want to join any club that would have this me as a member
Marge Simpson,but you know we realized were more comfortable in a place like this
Marge Simpson,what are you going to spend your money on kids
Bart Simpson,theres a special on tacos down at the the tacomat a hundred tacos for a hundred dollars im gonna get that
Marge Simpson,tacos public broadcasting i wont have you kids throwing your money away like that youre both coming downtown with me and youre gonna put that money in the bank
Bart Simpson,boy i sure could go for a hundred tacos right about now
Marge Simpson,youll feel better knowing your moneys in the hands of professionals
Marge Simpson,a professional in an ape mask is still a professional
Bart Simpson,i got the account where you get free customized checks i chose the hindenberg flip-book series
Bart Simpson,no mom i can handle it lets see pay to the order of lisa one cent and no cents and now the old john hancock here you go
Bart Simpson,uh thats a post-dated check remember dont cash it til the year ten thousand
Bart Simpson,no need im going to get krustys autograph the easy way
Bart Simpson,if he wants these 25 cents hell have to endorse the check by signing it on the back then when my monthly bank statement comes ill get the check back complete with autograph no fuss no muss
Bart Simpson,lisas autograph apus autograph oh whaddaya know jimbos real name is corky aannnnd krusty hey cayman islands offshore holding corporation
Bart Simpson,krusty was supposed to sign this take it back and make him sign it
Bart Simpson,krustys my hero how could i do this to him
Bart Simpson,yeah therell be enough people to do that for me at recess tomorrow
Homer Simpson,um ill have four tax burgers one irs-wich -- withhold the lettuce -- three dependent-sized sodas and a ficaccino
Homer Simpson,hey marge -- what were your gambling losses last year
Bart Simpson,krusty hi is it okay if i sit down here
Bart Simpson,im sorry for all the trouble ive caused you krusty but you know my mom says god never closes a door without opening a window
Bart Simpson,it doesnt matter how you live or what you did wrong as long as youre on tv people will respect you
Bart Simpson,well if itll make you feel any better krusty you can punch me in the face
Homer Simpson,yeah even with all his problems hes still willing to do something unbelievably dangerous just to entertain his fans
Bart Simpson,aw thats my krusty i got a feeling hell be allll-right
Homer Simpson,dont worry son im sure hes up in heaven right now laughing it up with all the other celebrities -- john dillinger ty cobb joseph stalin i wish i were dead
Homer Simpson,dont let krustys death get you down boy people die all the time just like that why you could wake up dead tomorrow well good night
Marge Simpson,sweetheart maybe you just want krusty to be alive so badly you think you see him everywhere i went through the same thing when lyndon johnson died
Bart Simpson,wait a minute all those things i saw -- theres a connection the truck full of nets and buckets the queasy guy the lobsters they all point to one thing follow me
Bart Simpson,lisa look a signature with stars around it just like krustys
Bart Simpson,well if youre not krusty how come you have the exact same signature as him
Bart Simpson,so now that weve blown your cover i guess youve gotta come back and do your show again
Bart Simpson,but krusty what about all the kids who depend on you to brighten up their afternoons are you going to turn your back on them
Bart Simpson,cmon lis krusty doesnt want our attention anymore lets go worship somebody who has the guts to be a celebrity
Bart Simpson,krustys tired of having phonies around pretending to be his friends im sure hell find plenty of people wholl like him for who he is
Bart Simpson,what about being an illiterate tv clown whos still more respected than all the scientists doctors and educators in the country put together
Bart Simpson,so krusty what are you gonna do about your tax problem
Bart Simpson,i hope they show the time where they traded guns to the indians for corn and then the indians shot them and took the corn
Homer Simpson,hey they need volunteers to play old-timey people in the parade look i can be a butter churner a typhoid carrier an apprentice i think ill be an apprentice marge
Bart Simpson,yeah dad youre a big fat loudmouth and you can walk when you have to
Homer Simpson,ah well if you kids believe in me that much ill give it my best shot
Homer Simpson,hear ye hear ye ye olde town crier proclaimed crappy by all chooseth homer simpson and he shalt rock thy world
Homer Simpson,woo hoo hear ye hear ye the homer broadcasting system is on the air all hollering all the time im gonna make the
Homer Simpson,no tongue eh how did he talk and eat and laugh and love
Marge Simpson,lisa honey when my family first came to this state they had a choice of living in springfield or stenchburg you know why they chose springfield because everyone knows jebediah springfield was a true american hero end of story
Homer Simpson,of course i do youre always right about this type of thing and for once i want in on the ground floor
Homer Simpson,ive been called a greasy thug too and it never stops hurting so heres what were gonna do grease ourselves up real good and trash that place with a baseball bat
Homer Simpson,but you have proof we could go get that confession out of jebediahs fife
Homer Simpson,come on we can use the baseball bat to smash open the case
Homer Simpson,town crier id like to ask you a few questions one wheres the fife and two give me the fife
Homer Simpson,oh yeah well put this in your fife and smoke it
Homer Simpson,oh sure i do i always believe in helping the little guy and youre the littlest guy i know
Homer Simpson,okay well thats not gonna stop us i know a much better way to get attention
Homer Simpson,hear ye hear ye my daughter has something to tell you about jebediah springfield
Homer Simpson,dig him up dig up that corpse if you really love jebediah springfield youll haul his bones out of the ground to prove my daughter wrong
Homer Simpson,hear ye hear ye everybody makes mistakes lets go home
Homer Simpson,oh its not your fault honey im supposed to be the responsible one i shouldnt have let you let me get carried away
Bart Simpson,i want to help you george washington even your dreams are square
Marge Simpson,boy it sure would be fun to carpool in one of those huh kids id be a real hot-rod mama wouldnt i huh huh
Homer Simpson,i think smithers picked me because of my motivational skills everyone always says they have to work a lot harder when im around
Marge Simpson,you know homer assisting mr burns could give your career a real shot in the arm
Homer Simpson,mr burns has a mother she must be a hundred million years old
Homer Simpson,uh mr smithers i dont understand 2700 of my new duties
Homer Simpson,uh smithers already left sir im his replacement homer simpson
Homer Simpson,uh-huh uh-huh okay um can you repeat the part of the stuff where you said all about the things the things
Marge Simpson,homie its 430 in the morning little rascals isnt on til 6
Homer Simpson,i know im taping it i want to get to mr burns house bright and early to make his breakfast
Homer Simpson,well its my job to cook him breakfast and im gonna cook the best damned breakfast he ever ate
Homer Simpson,well you can either get up or go back to sleep
Homer Simpson,the accounting department is located on the third floor its hours are 9 am to 5 pm the head of this department is a mr johnson or johnstone
Homer Simpson,here are your messages you have 30 minutes to move your car you have 10 minutes your car has been impounded your car has been crushed into a cube you have 30 minutes to move your cube
Bart Simpson,now get cracking on my long division and dont forget to show your work simpson
Homer Simpson,ill have it on your desk in the morning sir
Marge Simpson,kids stop exploiting your father homie why dont you lie down and relax
Homer Simpson,no time marge i think mr burns wants me to do some long division
Homer Simpson,i punched mr burns right in his 104 year-old face
Marge Simpson,okay maybe everythings all right maybe if you go apologize he wont even fire you if hes alive
Homer Simpson,im really sorry i hit you mr burns here let me put some salt on that eye
Homer Simpson,well can i at least drive you home mr burns its five oclock
Homer Simpson,would you like me to shred those environmental reports for you sir
Homer Simpson,mr burns is there anything at all i can do for you
Homer Simpson,i just feel terrible about getting mr smithers fired that job was all he had imagine how youd feel marge if you got fired from the those things that you do
Bart Simpson,quick mom whip up a cake before dad fires you
Homer Simpson,you cant let yourself end up in a place like this youve got two choices you can give up on yourself and take the barney-guarding job like so many of us have contemplated in our darkest moments or you can admit to yourself theres only one person that can make you happy and do whatever it takes to get them back
Homer Simpson,son this is mrs burns i just called to say i dont love you you are a bad son montel
Bart Simpson,lisa if i ever stop loving violence i want you to shoot me
Homer Simpson,bye kids on your way back pick up a six pack of beer
Marge Simpson,bart lisa its 11 oclock at night where do you think youre going
Marge Simpson,i wont have my children sitting alone on a cold dangerous street all night homer you go too
Bart Simpson,how come ive never seen that itchy and scratchy before
Bart Simpson,show some respect man that no talent created itchy and scratchy
Bart Simpson,well im not calling you a liar but but i cant think of a way to finish that sentence
Bart Simpson,i cant believe it that was itchy all right you did invent him when people see this youll be rich and famous
Bart Simpson,you cant just go back to the gutter you created itchy you should be a millionaire
Bart Simpson,you asked roger myers sr for money roger myers jr is in charge of the studio now hes a good man every christmas he goes down to the pound and rescues one cat and one mouse and gives them to a hungry family
Bart Simpson,hmm well you can stay at my house until then my parents wont mind because they wont even know about it
Bart Simpson,hes not a regular bum mom hes a genius bum he created itchy and hes the father of cartoon violence
Bart Simpson,he just needs to stay here till tomorrow were going down to itchy and scratchy studios to pick up his check
Bart Simpson,wait-wait-wait-wait-wait theres an easy way to get rid of chester without the guilt of sending him back to the gutter
Bart Simpson,i knew i had seen this exact scene somewhere else -- it was in the movie mr lampwick showed me ladies and gentlemen this drawing was made in 1919 nine years before roger myers made his first itchy and scratchy cartoon
Marge Simpson,what are you going to do with all your money mr lampwick
Bart Simpson,we need another vietnam to thin out their ranks a little
Bart Simpson,look if moneys the only problem i know a guy who has lots of it
Bart Simpson,hi chester listen would you pay to make more itchy and scratchy cartoons
Bart Simpson,lisa and i want to finance a series of animated cartoons
Bart Simpson,yeah i agree you wanna start on trying to get apu out of jail
Bart Simpson,well i wasnt the one who solved the problem and neither was lisa theres something unsettling about that
Marge Simpson,wait kids you cant give up on itchy and scratchy youre always so good at these things why together youve reunited krusty with his father gotten principal skinner his job back and helped dr riviera perform open-heart surgery on your father youve even foiled sideshow bob on five separate occasions and hes an evil genius
Bart Simpson,what a perfect plan now roger myers hotel is just around the--
Bart Simpson,i guess you dont need it now but we had a plan too
Marge Simpson,you kids must be so happy your cute little cartoon friends are back on the air
Homer Simpson,well its not quite a mop and its not quite a puppet but man so to answer your question i dont know
Bart Simpson,why did they make that one muppet out of leather
Marge Simpson,thats not a leather muppet thats troy mcclure oh back in the 70s he was quite the teen heartthrob
Homer Simpson,yeah whodve thought hed turn out to be such a weirdo
Homer Simpson,you know his bizarre personal life those weird things they say he does down at the aquarium why i heard
Marge Simpson,homer thats just an urban legend people dont do that type of thing with fish troy mcclure is a perfect gentlemen like bing crosby or jfk i wonder where troy is now
Homer Simpson,troy mcclure hes a washed-up movie star he could be dating washed-up supermodels
Homer Simpson,troy buddy i gotta know whats a great guy like you wanna marry a guy like selma
Homer Simpson,hey look what i snagged marge -- the candy bride and groom from the wedding cake
Marge Simpson,it was a beautiful wedding ive never seen selma happier
Homer Simpson,that reminds me -- troy said something interesting last night at the bar apparently he doesnt really love selma and the marriage is just a sham to help his career well enough talk lets snuggle
Homer Simpson,marge could you close your eyes im trying to sleep
Marge Simpson,selma about you and troy were not sure hes all he seems
Marge Simpson,selma troy doesnt love you at all hes only using you to squelch the rumors about his bizarre personal life and further his career
Bart Simpson,because ive always been an advocate of women in the workplace lis
Bart Simpson,i cant help it if moms workplace contains our tv
Marge Simpson,im honored bart and lisa youll have a fine time at the plant with dad youve been interested in nuclear power for years
Bart Simpson,mom youre blocking the tv if you need something to do you can fill out my form here
Marge Simpson,parents occupation please note homemaker is not allowed as it is not real work thats why you dont get paid for it
Marge Simpson,oh but he so wanted to see women in the workplace
Marge Simpson,of course of course i would never ever have thought of that
Bart Simpson,well at least im not stuck at the cracker factory like milhouse
Homer Simpson,uh oh -- this is a map of nuclear sites around the country as a safety inspector i am responsible for changing most of these light bulbs
Homer Simpson,im sorry i guess watching me isnt any more exciting than being me
Homer Simpson,boy this is a lot more fun with a second person
Bart Simpson,yes you are right milhouse it is a fake which makes it a fake id
Bart Simpson,and its our ticket to the best spring break of our lives
Bart Simpson,are you kidding i take it as a compliment three beers please
Bart Simpson,maybe when we find something decent to do with this id
Bart Simpson,well were having the best spring break of our lives and we dont need you around nerding it up
Bart Simpson,oh yeah right like theres any way to get some kicks with a big wad of cash and a license to drive
Bart Simpson,gentlemen for our road trip i have taken the liberty of preparing an airtight and utterly plausible alibi for use on our parents
Marge Simpson,the national grammar rodeo i wish i were going oh wait wait -- i mean i wish i was going is that right bart
Bart Simpson,maybe because you are as we say in latin a dorkus malorkus
Marge Simpson,oh honey youve had your glory now its barts turn
Bart Simpson,cruise control my good man everybody all set back here nelson good to see you martin always a pleasure
Homer Simpson,oh diablo canyon 2 why cant you be more like diablo canyon 1
Marge Simpson,hello oh homie hello i cant remember the last time you called me from -- oh you want to speak to lisa
Homer Simpson,oh owls eh so you probably wouldnt want to spend another day at work with me
Bart Simpson,were not going to a grammar rodeo that was just an alibi milton
Homer Simpson,you made it did you have any trouble getting past the security guards
Homer Simpson,the way i figure it if the candy stays in the machine for more than a year its up for grabs
Homer Simpson,well its a two-man operation and youre the only man here i trust ready
Homer Simpson,boy lisa with you here this hardly seems like work at all i dont know how im gonna make it through my nightshift without you
Homer Simpson,oh thatd be great sleeping bags on the floor a roaring fire itll be just like the time they kicked me out of the sporting-goods store
Marge Simpson,with bart gone and now you and your father im not going to have anyone to--
Bart Simpson,branson missouri my dad says its like vegas if it were run by ned flanders
Homer Simpson,hello id like to speak with a mr snotball first name ura
Homer Simpson,what how dare you if i find out who this is ill staple a flag to your butt and mail you to iran
Homer Simpson,moe thinks he knows a lot more than moe knows well just give me another chance and ill prove i can keep your secrets
Homer Simpson,ive already forgotten his name it was larsen something right
Bart Simpson,hurry up weve only got four days to spend at the wod fir
Bart Simpson,uh excuse me is this the worlds fair visitors center
Bart Simpson,well weve still got a car and a wad of cash
Bart Simpson,no theyd kill us look we got here on our own so we can survive here on our own all we need is money food and a way to get home follow me
Marge Simpson,of course ill accept bart ive missed you so mu-- you want to speak to lisa
